2533A093 2533A067;2533A025 2533A067;2533A067 2533A068;2;293374.5
3511A008 3511A023;3512A012 3512A016;3511A073 3512A011;2;293374.5
3512A012 3512A016;3511A073 3512A011;3511A023 3512A011;2;293374.5
2523A002 2523A011;2523A001 2523A015;2523A015 2524A001;2;293380.5
2514A092 2523A042;2514A038 2514A039;2514A034 2514A176;2;293396.5
3512A006 3512A007;2534A024 2534A025;2534A004 2534A005;2;293408.5
2523A002 2523A011;2523A001 2523A015;2523A050 2524A001;2;293422.5
2543A001 2543A008;2543A020 2543A019;2543A017 2543A007;2;293463.5
2531A011 2442A021;2531A011 2531A012;2531A011 2513A100;2;293512.5
2514A092 2523A042;2514A037 2514A038;2514A034 2514A176;2;293537.5
2533A015 2533A016;2533A016 2533A11808;2533A016 2533A111;2;293542.5
2514A037 2514A092;2514A040 2514A007;2514A176 2514A036;2;293543.5
2532A027 2532A028;2532A013 2532A014;2541A006 2543A017;2;293554.5
2533A009 3511A010;2534A001 2533A009;2533A009 3511A015;2;293566.5
3511A015 3511A009;3511A015 2533A089;2533A009 3511A015;2;293572.5
3512A007 3512A002;2534A024 2534A025;2534A004 2534A005;2;293575.5
2531A162 2531A125;2531A183062531A162;2531A162 2531A00101;2;293584.5
2543A007 2543A001;2541A001 2541A006;2534A043 2543A019;2;293595.5
2534A002 2534A001;2534A032 2534A002;2534A002 2534A018;2;293631.5
2533A006 2533A007;2533A015 2533A016;2533A007 2533A015;2;293632.5
2533A015 2533A016;2533A007 2533A015;2533A004 2533A109;2;293632.5
2533A015 2533A016;2533A007 2533A015;2533A117032533A11801;2;293632.5
2533A021 2533A105;2533A104 2533A021;2533A021 3511A009;2;293650.5
2523A002 2523A011;2523A048 2523A050;2523A048 2523A050;2;293692.5
2532A013 2532A014;2532A015 2532A016;2543A017 2543A007;2;293698.5
2532A014 2541A001;2532A015 2532A028;2543A017 2543A007;2;293772.5
2514A092 2523A042;2514A040 2514A007;2514A036 2514A037;2;293773.5
2531A003032531A00401;2531A004022531A019;2531A037 2531A00403;2;293776.5
2523A001 2523A015;2523A015 2523A014;2523A011 2523A012;2;293784.5
2541A002 2532A013;2541A001 2541A006;2532A015 2532A028;2;293819.5
2541A044022541A002;2532A013 2532A014;2541A008 2541A009;2;293821.5
2531A094 2531A182;2531A136 2531A088;2531A088 2531A057;2;293831.5
2541A002 2532A013;2532A016 2541A001;2541A006 2543A017;2;293837.5
2514A041 2514A00705;2532A005 2514A041;2532A005 2532A037;2;293873.5
2514A041 2514A00705;2532A005 2514A041;2532A093022532A017;2;293873.5
2533A096 2533A050;2533A053 2533A002;2533A003 2533A055;2;293891.5
3512A011 3512A012;3512A017 3512A016;3512A016 3512A015;2;293898.5
3512A012 3512A016;3511A073 3512A011;3512A011 3512A012;2;293898.5
3512A012 3512A016;3512A011 3512A012;3511A073 3512A015;2;293898.5
3512A012 3512A016;3512A011 3512A012;3512A016 3512A015;2;293898.5
2533A084 2533A087;2533A039 2533A038;2533A040 2533A041;2;293920.5
2543A001 2543A008;2534A043 2543A019;2543A009 2543A010;2;293949.5
2543A001 2543A008;2543A009 2543A010;2543A015 2543A010;2;293949.5
2543A001 2543A008;2543A020 2543A019;2543A009 2543A010;2;293949.5
2543A020 2543A007;2543A001 2543A008;2543A009 2543A010;2;293949.5
2533A003 2533A035;2533A028 2533A058;2533A035 2533A10802;2;293951.5
2531A109 2533A027;2533A028 2533A058;2533A035 2533A058;2;293959.5
2533A003 2533A035;2533A028 2533A058;2533A035 2533A058;2;293959.5
2533A028 2533A058;2533A003 2533A034;2533A035 2533A058;2;293959.5
2533A028 2533A058;2533A027 2533A028;2533A035 2533A058;2;293959.5
2533A028 2533A058;2533A028 2533A107;2533A035 2533A058;2;293959.5
2533A028 2533A058;2533A035 2533A10802;2533A035 2533A058;2;293959.5
2523A002 2523A011;2523A001 2523A015;2523A013 2523A048;2;294055.5
2514A033032514A034;2514A034 2523A033;2514A034 2514A176;2;294067.5
2532A013 2532A014;2532A015 2532A028;2541A006 2543A017;2;294112.5
2523A001 2523A015;2523A001 2523A010;2523A009 2523A001;2;294122.5
2532A013 2532A014;2532A016 2541A001;2543A017 2543A007;2;294173.5
2523A001 2523A010;2523A011 2523A012;2523A002 2523A016;2;294192.5
2523A004 2523A005;2514A020 2523A003;2514A033032514A034;2;294194.5
2523A004 2523A005;2514A020 2523A003;2523A034 2523A032;2;294194.5
2523A004 2523A005;2523A015 2523A014;2514A020 2523A003;2;294194.5
2523A004 2523A005;2523A032 2523A031;2514A020 2523A003;2;294194.5
2543A020 2543A007;2543A001 2543A008;2543A017 2543A007;2;294243.5
2543A010 2543A011;2543A015 2543A010;2543A008 2543A009;2;294244.5
2532A075 2532A071;2532A018 2532A029;2532A093022532A017;2;294252.5
